type,index_or_span,text,score
char,0,d,0.305079
char,1,e,0.305079
char,2,f,0.305079
char,3, ,0.171787
char,4,t,0.171787
char,5,w,0.171787
char,6,o,0.171787
char,7,_,0.305953
char,8,s,0.477300
char,9,u,0.477300
char,10,m,0.477300
char,11,(,0.603106
char,12,n,0.282498
char,13,u,0.282498
char,14,m,0.282498
char,15,s,1.000000
char,16,",",0.594113
char,17, ,0.188542
char,18,t,0.188542
char,19,a,0.188542
char,20,r,0.188542
char,21,g,0.188542
char,22,e,0.188542
char,23,t,0.188542
char,24,),0.452207
char,25,:,0.452207
char,26,"
",0.853992
char,27, ,0.151920
char,28, ,0.151920
char,29, ,0.151920
char,30, ,0.255555
char,31,s,0.255555
char,32,e,0.255555
char,33,e,0.255555
char,34,n,0.255555
char,35, ,0.209176
char,36,=,0.209176
char,37, ,0.290900
char,38,{,0.290900
char,39,},0.290900
char,40,"
",0.536998
char,41, ,0.095050
char,42, ,0.095050
char,43, ,0.095050
char,44, ,0.161371
char,45,f,0.161371
char,46,o,0.161371
char,47,r,0.161371
char,48, ,0.201046
char,49,i,0.201046
char,50,",",0.405035
char,51, ,0.313902
char,52,x,0.313902
char,53, ,0.118046
char,54,i,0.118046
char,55,n,0.118046
char,56, ,0.093794
char,57,e,0.093794
char,58,n,0.093794
char,59,u,0.093794
char,60,m,0.093794
char,61,e,0.093794
char,62,r,0.093794
char,63,a,0.093794
char,64,t,0.093794
char,65,e,0.093794
char,66,(,0.433706
char,67,n,0.267091
char,68,u,0.267091
char,69,m,0.267091
char,70,s,0.516425
char,71,),0.153807
char,72,:,0.153807
char,73,"
",0.684409
char,74, ,0.065340
char,75, ,0.065340
char,76, ,0.065340
char,77, ,0.065340
char,78, ,0.065340
char,79, ,0.065340
char,80, ,0.065340
char,81, ,0.306376
char,82,y,0.306376
char,83, ,0.155720
char,84,=,0.155720
char,85, ,0.090033
char,86,t,0.090033
char,87,a,0.090033
char,88,r,0.090033
char,89,g,0.090033
char,90,e,0.090033
char,91,t,0.090033
char,92, ,0.370245
char,93,-,0.370245
char,94, ,0.244479
char,95,x,0.244479
char,96,"
",0.581315
char,97, ,0.042198
char,98, ,0.042198
char,99, ,0.042198
char,100, ,0.042198
char,101, ,0.042198
char,102, ,0.042198
char,103, ,0.042198
char,104, ,0.192343
char,105,i,0.192343
char,106,f,0.192343
char,107, ,0.218925
char,108,y,0.218925
char,109, ,0.237502
char,110,i,0.237502
char,111,n,0.237502
char,112, ,0.127876
char,113,s,0.127876
char,114,e,0.127876
char,115,e,0.127876
char,116,n,0.127876
char,117,:,0.400206
char,118,"
",0.550986
char,119, ,0.029602
char,120, ,0.029602
char,121, ,0.029602
char,122, ,0.029602
char,123, ,0.029602
char,124, ,0.029602
char,125, ,0.029602
char,126, ,0.029602
char,127, ,0.029602
char,128, ,0.029602
char,129, ,0.029602
char,130, ,0.120783
char,131,r,0.120783
char,132,e,0.120783
char,133,t,0.120783
char,134,u,0.120783
char,135,r,0.120783
char,136,n,0.120783
char,137, ,0.358082
char,138,[,0.358082
char,139,s,0.139694
char,140,e,0.139694
char,141,e,0.139694
char,142,n,0.139694
char,143,[,0.492674
char,144,y,0.493767
char,145,],0.297927
char,146,",",0.297927
char,147, ,0.395804
char,148,i,0.395804
char,149,],0.883259
char,150,"
",0.551878
char,151, ,0.056707
char,152, ,0.056707
char,153, ,0.056707
char,154, ,0.056707
char,155, ,0.056707
char,156, ,0.056707
char,157, ,0.056707
char,158, ,0.117790
char,159,s,0.117790
char,160,e,0.117790
char,161,e,0.117790
char,162,n,0.117790
char,163,[,0.497669
char,164,x,0.482842
char,165,],0.586953
char,166, ,0.168915
char,167,=,0.168915
char,168, ,0.295360
char,169,i,0.295360
char,170,"
",0.679323
char,171, ,0.153641
char,172, ,0.153641
char,173, ,0.153641
char,174, ,0.095479
char,175,r,0.095479
char,176,e,0.095479
char,177,t,0.095479
char,178,u,0.095479
char,179,r,0.095479
char,180,n,0.095479
char,181, ,0.225370
char,182,N,0.225370
char,183,o,0.225370
char,184,n,0.225370
char,185,e,0.225370
char,186,"
",0.953731
token,0-3,def,0.305079
token,3-4, ,0.171787
token,4-11,two_sum,0.321888
token,11-12,(,0.603106
token,12-16,nums,0.461873
token,16-17,",",0.594113
token,17-18, ,0.188542
token,18-24,target,0.188542
token,24-25,),0.452207
token,25-26,:,0.452207
token,26-27,"
",0.853992
token,27-28, ,0.151920
token,28-29, ,0.151920
token,29-30, ,0.151920
token,30-31, ,0.255555
token,31-35,seen,0.255555
token,35-36, ,0.209176
token,36-37,=,0.209176
token,37-38, ,0.290900
token,38-39,{,0.290900
token,39-40,},0.290900
token,40-41,"
",0.536998
token,41-42, ,0.095050
token,42-43, ,0.095050
token,43-44, ,0.095050
token,44-45, ,0.161371
token,45-48,for,0.161371
token,48-49, ,0.201046
token,49-50,i,0.201046
token,50-51,",",0.405035
token,51-52, ,0.313902
token,52-53,x,0.313902
token,53-54, ,0.118046
token,54-56,in,0.118046
token,56-57, ,0.093794
token,57-66,enumerate,0.093794
token,66-67,(,0.433706
token,67-71,nums,0.329425
token,71-72,),0.153807
token,72-73,:,0.153807
token,73-74,"
",0.684409
token,74-75, ,0.065340
token,75-76, ,0.065340
token,76-77, ,0.065340
token,77-78, ,0.065340
token,78-79, ,0.065340
token,79-80, ,0.065340
token,80-81, ,0.065340
token,81-82, ,0.306376
token,82-83,y,0.306376
token,83-84, ,0.155720
token,84-85,=,0.155720
token,85-86, ,0.090033
token,86-92,target,0.090033
token,92-93, ,0.370245
token,93-94,-,0.370245
token,94-95, ,0.244479
token,95-96,x,0.244479
token,96-97,"
",0.581315
token,97-98, ,0.042198
token,98-99, ,0.042198
token,99-100, ,0.042198
token,100-101, ,0.042198
token,101-102, ,0.042198
token,102-103, ,0.042198
token,103-104, ,0.042198
token,104-105, ,0.192343
token,105-107,if,0.192343
token,107-108, ,0.218925
token,108-109,y,0.218925
token,109-110, ,0.237502
token,110-112,in,0.237502
token,112-113, ,0.127876
token,113-117,seen,0.127876
token,117-118,:,0.400206
token,118-119,"
",0.550986
token,119-120, ,0.029602
token,120-121, ,0.029602
token,121-122, ,0.029602
token,122-123, ,0.029602
token,123-124, ,0.029602
token,124-125, ,0.029602
token,125-126, ,0.029602
token,126-127, ,0.029602
token,127-128, ,0.029602
token,128-129, ,0.029602
token,129-130, ,0.029602
token,130-131, ,0.120783
token,131-137,return,0.120783
token,137-138, ,0.358082
token,138-139,[,0.358082
token,139-143,seen,0.139694
token,143-144,[,0.492674
token,144-145,y,0.493767
token,145-146,],0.297927
token,146-147,",",0.297927
token,147-148, ,0.395804
token,148-149,i,0.395804
token,149-150,],0.883259
token,150-151,"
",0.551878
token,151-152, ,0.056707
token,152-153, ,0.056707
token,153-154, ,0.056707
token,154-155, ,0.056707
token,155-156, ,0.056707
token,156-157, ,0.056707
token,157-158, ,0.056707
token,158-159, ,0.117790
token,159-163,seen,0.117790
token,163-164,[,0.497669
token,164-165,x,0.482842
token,165-166,],0.586953
token,166-167, ,0.168915
token,167-168,=,0.168915
token,168-169, ,0.295360
token,169-170,i,0.295360
token,170-171,"
",0.679323
token,171-172, ,0.153641
token,172-173, ,0.153641
token,173-174, ,0.153641
token,174-175, ,0.095479
token,175-181,return,0.095479
token,181-182, ,0.225370
token,182-186,None,0.225370
token,186-187,"
",0.953731
